PERGUNTA PRINCIPAL,RESPOSTA,Palavra-chave/Tema
química,O curso técnico em química tem carga horária total de estágio de 350 h. Em caso de dúvidas entre em contato com o coordenador pelo e-mail: tecquimica.barbacena@ifsudestemg.edu.br. Já o curso licenciatura em química tem carga horária total de estágio de 405 h. Em caso de dúvidas entre em contato o coordenador pelo e-mail: quimica.barbacena@ifsudestemg.edu.br,"curso técnico química, integrado ao ensino médio e curso superior em quimica, licenciatura"
enfermagem,O curso técnico em enfermagem tem carga horária total de estágio de 300 h. Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: tecenfermagem.barbacena@ifsudestemg.edu.br,"curso técnico enfermagem, sunsequente"
informática,O curso técnico em informática tem carga horária total de estágio de 240 h. Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: tecinformatica.barbacena@ifsudestemg.edu.br,"curso técnico em informática, sunsequente e concomitante "
meio ambiente,O curso técnico em meio ambiente tem carga horária total de estágio de 360 h. Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: tecambiente.barbacena@ifsudestemg.edu.br,"curso técnico em meio ambiente, sunsequente"
segurança do trabalho,O curso técnico em segurança do trabalho tem carga horária total de estágio de 240 h. Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: tecseguranca.barbacena@ifsudestemg.edu.br,"curso técnico em segurança do trabalho, sunsequente"
administração,O curso superior em administração tem carga horária total de estágio de 400 h. Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: administracao.barbacena@ifsudestemg.edu.br,"curso superior em administração, bacharelado"
agronomia,O curso superior em agronomia tem carga horária total de estágio de 240 h. Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: agronomia.barbacena@ifsudestemg.edu.br,"curso superior em agronomia, bacharelado "
"ciências biológicas, biologia",O curso licenciatura em ciências biológicas tem carga horária total de estágio de 405 h. Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: cienciasbiologicas.barbacena@ifsudestemg.edu.br,"curso superior em ciências biológicas, licenciatura "
educação física,O curso licenciatura em educação física tem carga horária total de estágio de 130h para cada nível de ensino . Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: educacaofisica.barbacena@ifsudestemg.edu.br,"curso superior em educação física, licenciatura"
gestão ambiental,O curso bacharelado em gestão ambiental tem carga horária total de estágio de 200 h. Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: gestambiental.barbacena@ifsudestemg.edu.br ,"curso superior em gestão ambiental, bacharelado "
gestão de turismo,O curso gestão de turismo tem carga horária total de estágio de 240 h. Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: gestaoturismo.barbacena@ifsudestemg.edu.br,"curso superior em gestão de turismo, tecnólogo"
nutrição,"O curso superior em nutrição tem carga horária total de estágio de 225h para cada setor (Clínico, UAN e Social) . Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: nutricao.barbacena@ifsudestemg.edu.br","curso superior em nutrição, bacharelado"
Quantas horas de estágio eu já entreguei?,"🔍 <strong>Atualização Rápida!</strong> A Coordenação de estágio desenvolveu um painel com as informações de cada aluno que está estagiando. Acesse o painel e digite sua matrícula para verificar a situação. <strong>DICA:</strong> Os dados são atualizados a cada 15 min. Se houver algum erro, entre em contato com a coordenação. 📊 
<a href=""https://lookerstudio.google.com/reporting/d20148c1-36f9-4ee1-9b77-ffa5c55f6f30/page/QaepE"">Link do painel</a>","Painel de estágio com a quantidade de horas que o aluno já fez, entregou e comprovou"
Qual é a lei de Estágio?,"🧐 <strong>O que é o estágio?</strong> Bem, isso pode depender de muitos fatores! No nosso caso, depende do PPC do seu curso (Projeto Pedagógico do Curso, para os íntimos). 😎<br><br>
Ah, e existe uma lei específica para estágios, a Lei nº 11.788. Ela regula tudo sobre estágios. Você pode conferir mais detalhes <a href=""https://www.planalto.gov.br/ccivil_03/_Ato2007-2010/2008/Lei/L11788.htm"">acessando a lei</a>.",Informações sobre a lei de estágio
Quero iniciar meu estágio como faço para iniciar meu estágio?,"🧐 <strong>Como iniciar o estágio?</strong> Aqui estão as etapas:<br><br>
1. 🏢 Procure uma empresa: Encontre uma empresa onde você gostaria de estagiar.<br>
2. 👨‍🏫 Procure um professor para te orientar: Encontre um professor da sua área para te orientar.<br>
3. 📄 Solicite o seu termo de compromisso: Preencha e assine o termo de compromisso.<br>
4. 🚀 Inicie seu estágio: Com tudo pronto, é só começar!<br><br>
Se tiver alguma dúvida sobre alguma dessas etapas, é só perguntar que o JOTHA está aqui para ajudar! 😄🤖",o que é preciso para iniciar o estágio.
Posso inicar meu estágio sem o TCE?,"Não pode, meu amigo😔!<br><br>
Aqui estão as etapas:<br>
1. 🏢 Procure uma empresa: Encontre uma empresa onde você gostaria de estagiar.<br>
2. 👨‍🏫 Procure um professor para te orientar: Encontre um professor da sua área para te orientar.<br>
3. 📄 Solicite o seu termo de compromisso: Preencha e assine o termo de compromisso.<br>
4. 🚀 Inicie seu estágio: Com tudo pronto, é só começar!<br><br>
Se tiver alguma dúvida sobre alguma dessas etapas, é só perguntar que o JOTHA está aqui para ajudar! 😄🤖",Para iniciar precisa do termo de compromisso(tce) preenchido e devidamente assinado 
Como solictar convênio com o IF Barbacena?,"No mesmo formulário que você solicita o TCE você poderá indicar os dados da empresa para a celebração de um novo convênio. A. <br>Acesse o formulário 
<a href=""https://forms.gle/EZqc4ixgTP8RyP7VA"">aqui</a>.",novos convênio de estágio com empresas que não estão na lista 
posso fazer estágio em uma empresa que não tem convênio com o IF?,"Não! No mesmo formulário que você solicita o TCE você poderá indicar os dados da empresa para a celebração de um novo convênio. <br>Acesse o formulário 
<a href=""https://forms.gle/EZqc4ixgTP8RyP7VA"">aqui</a>.",estágio em empresas não conveniadas
Posso estagiar na fazenda do meu tio?,"Verique se tem o convênio na lista  <a href=""https://docs.google.com/spreadsheets/d/1rsuvUiRThdah-sgIWmIcM5dS82imdys4tatL9WvCYeY"">aqui</a>. Caso não aparece o nome , no mesmo formulário que você solicita o TCE você poderá indicar os dados da empresa para a celebração de um novo convênio. <br>Acesse o formulário 
<a href=""https://forms.gle/EZqc4ixgTP8RyP7VA"">aqui</a>.","fazenda, sítio, chacara, lavoura, plantação"
Como cadastrar meu relatório no SIGAA?,"Para cadastrar seu relatório você deverá acessar o seu SIGAA, depois ir na aba Estágio > Gerenciar Estágios > Ações > Preencher Relatório Final.<br>😄🤖","Onde cadastrar o relatório de estágio ou a documentação que resgistram  o estágio como: relatório, frequência, declaração "
como vou pegar CPF do supervisor de estágio?  ,"Boa pergunta! <br>
Antes de preencher sua solicitação de estágio, você vai precisar pegar todos os dados do supervisor. 🚀<br>
Entre em contato com a empresa e solicite essas informações. Se for estagiar dentro do campus Barbacena, fale com a Coordenação de Estágio. Um humano incrível está pronto para te ajudar com isso! 😉","Dados do supervisor de estágio como nome, cpf, rg"
"Irei fazer estágio em uma escola, mas não localizei o nome na lista de convênio ativos. O que devo fazer?","Essa pergunta tá moleza! 😄<br>
Se você vai realizar o estágio em uma escola municipal, selecione a prefeitura municipal correspondente. Já para escolas estaduais, escolha a Secretaria de Estado de Educação. 🚀<br>
Dica do JOTHA: Não esqueça de colocar o nome da escola na hora de preencher o <strong>Local de realização do estágio</strong> no formulário! 😉",Estagio em escolas estaduais ou municipais não tem o nome da lista de empresas ativas 
quais papéis é preciso para iniciar um estágio numa escola particular,"Se você vai realizar o estágio em uma escola particular, primeiro confira se a escola tem convênio ativo com o IF <a href=""https://docs.google.com/spreadsheets/d/1rsuvUiRThdah-sgIWmIcM5dS82imdys4tatL9WvCYeY"">aqui</a>. 🤓<br>
Dica do JOTHA: Se a escola não estiver na lista, relaxa! Você pode solicitar seu estágio <a href=""https://forms.gle/EZqc4ixgTP8RyP7VA"">aqui</a> e marcar ""não"" quando perguntarem sobre o convênio. Nos mande os contatos da escola que vamos dar um jeito nisso! 🚀

","Estagio em escolas particulares, verificar convênio "
Preciso de uma carta de apresentação? ,"Para solicitar a Carta de Apresentação, é só acessar o formulário<br>
<a href=""https://forms.gle/EZqc4ixgTP8RyP7VA"">aqui</a> e preencher os dados solicitados.<br>
Moleza, né? 🚀
",carta de apresentação 
Quais documentos preciso entregar para finalizar meu estágio? Onde localizo os documentos para registrar meu estágio?,"Que notícia boa saber que você já está pensando em finalizar seu estágio! 🎉<br>
Para finalizar, será necessário cadastrar os seguintes documentos:<br>
- Frequência<br>
- Relatório final<br>
- Avaliação do supervisor<br>
- Declaração de estágio<br>
Um pouquinho de burocracia, né? (cara sem graça 😅). Mas é a Lei que exige!<br>
Você pode acessar os documentos <a href=""https://drive.google.com/drive/folders/1irG2AisOSu5Rw6z8N4vFaxKPQ4WZk3jo?usp=drive_link"">aqui</a>.<br>
Dica do JOTHA: Se o seu estágio não foi cadastrado no SIGAA, você pode entregar a documentação diretamente para a Coordenação de Estágio. 🚀
",documentos para registar a finalização do estágio 
Quanto tempo para o convênio ficar pronto?,"""Essa é uma pergunta difícil de responder com precisão! 🤔<br>
Assim que você enviar os dados da empresa pelo formulário, a Coordenação irá encaminhar um e-mail solicitando os documentos e a assinatura do responsável pela empresa. 📩<br>
Quando o convênio estiver ativo, ele estará na lista de empresas conveniadas. <a href=""https://docs.google.com/spreadsheets/d/1rsuvUiRThdah-sgIWmIcM5dS82imdys4tatL9WvCYeY"">aqui</a>
Normalmente, esse processo leva cerca de 5 dias. 🕒",prazo e tempo para celebração de novos termos de convênio
Professor orientador pode ser supervisor ?,"Boa pergunta! 🚀<br>
Sim, o professor orientador pode ser o supervisor, especialmente quando o estágio é interno! Nesse caso, ele acumula as responsabilidades de orientar academicamente e supervisionar o estagiário no ambiente de estágio. Isso garante que tudo fique alinhado e bem acompanhado.<br>
Se precisar de mais ajuda, é só perguntar! 😉",Orientrador e supervisor podem ser a mesma pessoa 
Quais documentos a empresa precisa enviar para celebrar um novo convênio?,"Para celebrar um convênio, a empresa precisa nos enviar seus dados completos, cópia do CNPJ e os documentos do responsável legal. 🚀<br>
Acesse o formulário e envie os dados de contato da empresa: <a href=""https://forms.gle/EZqc4ixgTP8RyP7VA"">aqui</a>.<br>
Um humano incrível da Coordenação vai entrar em contato com a empresa e seguir todos os protocolos para ativação do convênio. 😉
",documentos e procedimentos para empresas que não tem convênio de estágio com o campus barbacena 
Como que eu filtre na opção de apenas para meu curso,"O filtro só funciona quando você acessa a planilha pelo computador. 💻<br>
No canto superior esquerdo, você vai ver o título da tabela ""CONVÊNIOS"". O filtro é um quadradinho que parece uma mini calculadora. 🧮<br>
É só clicar e selecionar o nível do seu curso e... PÁ! A mágica acontece! ✨🚀",como usar o filtro na tabela dos convênios 
Centro educacional infantil pingo de gente,"Olá! 😊 O campus Barbacena tem convênio com mais de 200 empresas. Você pode conferir a lista completa de empresas conveniadas <a href=""https://docs.google.com/spreadsheets/d/1rsuvUiRThdah-sgIWmIcM5dS82imdys4tatL9WvCYeY"">aqui</a>. <br> Verifique se a empresa está na lista, caso contrário, acesse o formulário e envie os dados de contato da empresa: <a href=""https://forms.gle/EZqc4ixgTP8RyP7VA"">aqui</a>.<br>
Um humano incrível da Coordenação vai entrar em contato com a empresa e seguir todos os protocolos para ativação do convênio. 😉
","nome me escola ou empresa aleatórias, usuario não sabe a empresa tem convênio."
Se eu não cumprir às horas  que descrevi no ínicio tem problema?,"Não tem problema se você não cumprir as horas que descreveu no início. 🚀<br>
É só registrar as horas reais na folha de frequência até o último dia em que você for estagiar. 😉<br>
⚠️ Atenção: Fique de olho na data final do TCE! Você não poderá estagiar além dessa data. 🕒<br>
Para solicitar a rescisão, acesse o formulário <a href=""https://forms.gle/EZqc4ixgTP8RyP7VA"">aqui</a>.<br>
Abraços cibernéticos do JOTHA! 🚀","finalizar o estágio antes do final do termo de compromisso, não cumpir a carga horária "
Quem decide minhas horas?,"Quem decide suas horas? Simples: você mesmo decide! 💡<br>
Claro, sempre junto com o coordenador e o supervisor. Essa é uma decisão em equipe para garantir que tudo corra bem no seu estágio. 🚀<br>
Dica do JOTHA: Para saber quantas horas de estágio o seu curso tem, me diga o nome do seu curso e eu te ajudo a descobrir! 😉
",definição de quantas horas irá estagiar 
Tem café?,"Infelizmente, não. 😅<br> Esta valendo ouro!! <br>
Mas na Coordenação de Estágio, você vai encontrar um humano incrível que está pronto para te ajudar com essa e outras solicitações! 🚀😉""",tem café 
rescisão do termo de compromisso ,"Poxa, vai terminar o seu estágio? Espero que esteja tudo bem. 🤖<br>
Para solicitar a rescisão, acesse o formulário <a href=""https://forms.gle/EZqc4ixgTP8RyP7VA"">aqui</a>.<br>
Abraços cibernéticos do JOTHA! 🚀
",solicitação de rescisão do termo de compromisso de estágio (TCE)
"Preenchi uma informação errada, oque faço?","Poxa vida, isso acontece! 😅<br>
Mas relaxa, não precisa reenviar o formulário. É só enviar um e-mail para a Coordenação de Estágio pedindo a alteração da informação. 🚀<br>
Tá tudo sob controle! 😉
","enviou o forumario, mas viu que preencheu errado "
"Preenchi uma informação errada, o que faço?","Parabéns! 🎉 Etapa vencida!<br>
Após a sua solicitação, a Coordenação irá analisar seu pedido e te enviar o TCE. Se você optou por recebê-lo por e-mail, ele chegará diretamente na sua caixa de entrada. Caso contrário, você poderá pegar o TCE impresso na própria Coordenação.<br>
Ah, importante: a Coordenação pede até 5 dias úteis para processar sua solicitação. 🕒<br>
Se precisar de mais alguma coisa, conte comigo! 🚀",preenchi a solicitação e agora o que devo fazer? Quanto tempo preciso esperar 
Não encontrei o nome do supervisor no formulário,"Neste caso, é só selecionar ""Outro"" e preencher com os dados do supervisor. 🚀<br>
Ah, não esqueça: você vai precisar dos documentos dele, como CPF e RG. 😉
",não localizei o nome do supervisor na lista quando foi preencher o formulário
O estágio pode ser remunerado?,"
✅ Sim! O estágio curricular pode ser remunerado 💰<br>
📜 De acordo com a <a href=""^2^"">https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11788.htm</a>, o estágio pode ser obrigatório ou não-obrigatório.<br>
💼 No estágio obrigatório, a remuneração depende de acordo entre o estudante e a empresa 🤝.<br>
💰 Já no estágio não-obrigatório, o pagamento de bolsa ou outra forma de contraprestação é compulsório ⚖️.<br>
",sobre o estágio ser remunerado ou não. Com pagamaneto de bolsa
Até quando tenho que entregar o TCE assinado?,"Recebeu o TCE? Agora é só providenciar as assinaturas e entregar na Coordenação de Estágio dentro de 5 dias úteis. 🚀<br>
⚠️ ATENÇÃO! Não comece o estágio sem ter toda a documentação assinada e aprovada. Sem papelada completa, sem estágio! 😅  
",prazo para devolver o TCE assinado e para coletar as assinaturas
Poderia encontrar a empresa Transleila?,"Olá! 😊 O campus Barbacena tem convênio com mais de 200 empresas. Você pode conferir a lista completa de empresas conveniadas <a href=""""https://docs.google.com/spreadsheets/d/1rsuvUiRThdah-sgIWmIcM5dS82imdys4tatL9WvCYeY"""">aqui</a>. Dica: Filtre a planilha pelo seu curso para facilitar a busca! 😉",verificar se a empresa tem convênio de estágio
o que é PPC?,"O <strong>PPC</strong> é o Projeto Pedagógico do Curso. 📚✨<br>
Ele define como o curso funciona, sua estrutura e os objetivos de formação.<br>
Nele, estão a matriz curricular, as habilidades que você deve desenvolver e as regras do curso.<br>
Segue normas do MEC e da instituição.<br>
Quer saber mais? Dá uma olhada no site ou fala com a coordenação! 🚀😉",significado do termo PPC -  Projeto Pedagógico do Curso
"Estágio Interno, como fazer o cadastro","Quer solicitar um estágio interno? O processo é o mesmo! 🚀<br>
1️⃣ Acesse o formulário: <a href=""https://forms.gle/D6sjzAXnGf8V3brb6"">aqui</a><br>
2️⃣ Selecione a opção ""Estágio Interno""<br>
Os nomes dos professores e supervisores já estão pré-cadastrados. 🧐<br>
Não achou o nome? Sem estresse! Escolha a opção ""Outro"" e nos informe os dados solicitados. 😉
",procedimenrtos para solicitação de estágios internos 
Como acho meu numero de matrícula?,"Quer achar seu número de matrícula? É só conferir no SIGAA! 🔍<br>
Se o sistema estiver fora do ar ou instável, sem estresse! Você pode buscar mais informações com a secretaria do seu curso:<br><br>
📌 <strong>Secretaria de Educação Profissional de Nível Médio (incluindo EAD)</strong><br>
✉️ sre.barbacena@ifsudestemg.edu.br<br>
📞 (32) 98424-9443<br><br>
📌 <strong>Secretaria de Educação Superior</strong><br>
✉️ secretariasuperior.barbacena@ifsudestemg.edu.br<br>
📞 (32) 98406-2676<br><br>
Agora é só entrar em contato! 🚀😉
",Informações sobre número de matrícula 
QUAL SÃO OS DOCUMENTOS PARA INICIAR O ESTÁGIO?,"🧐 <strong>Como iniciar o estágio?</strong> Aqui estão as etapas:<br><br>
1. 🏢 Procure uma empresa: Encontre uma empresa onde você gostaria de estagiar.<br>
2. 👨‍🏫 Procure um professor para te orientar: Encontre um professor da sua área para te orientar.<br>
3. 📄 Solicite o seu termo de compromisso: Preencha e assine o termo de compromisso.<br>
4. 🚀 Inicie seu estágio: Com tudo pronto, é só começar!<br><br>
Se tiver alguma dúvida sobre alguma dessas etapas, é só perguntar que o JOTHA está aqui para ajudar! 😄🤖",o que é preciso para iniciar o estágio.
o que acontece se eu não terminar o estágio até a formatura?,"Se não concluir o estágio até a formatura, você não poderá colar grau. 😬<br>
O estágio obrigatório faz parte da carga horária do curso, então é requisito pra se formar.<br>
Dica do JOTHA: fique de olho na sua carga horária e no prazo final! Se tiver dúvidas, chama a gente! 🚀😉",Consequência de não terminar o estágio
em quanto tempo deve ser entregue os documentos após fim do estágio,"Terminou o estágio? Parabéns! 🎉 Agora é hora de fechar com chave de ouro!<br>
Você deve entregar todos os documentos na Coordenação de Estágio em até 31 dias  após o término. 📄🕔<br>
Não perde o prazo, hein? Qualquer dúvida, chama o JOTHA! 🚀😉",entrega dos documentos que registram o estágio. Documentação final 
Preciso criar uma assinatura virtual para assinar o papel de conclusão do estagio?,"Hoje em dia, a assinatura digital é a mais indicada! 💻✨<br>
Ela evita a impressão de folhas, economiza tempo e ainda ajuda a salvar o meio ambiente. 🌱💚<br>
Mas se não tiver como fazer digital, pode assinar à mão mesmo, sem problemas! 😉🖊️<br>
O importante é que a assinatura esteja legível e válida. Qualquer dúvida, o JOTHA tá aqui pra te ajudar! 🚀",assinatura digital 
quanto tempo dura para formalizar o convênio?,"Boa pergunta! 😄<br>
O tempo para formalizar o convênio depende da empresa — ela precisa enviar toda a documentação certinha e assinar o termo. 📝🏢<br>
Pela parte do IF, o processo é bem rapidinho! 🚀<br>
Então quanto antes a empresa colaborar, mais rápido tudo fica pronto! 😉",tempo de formalização de novos convênios 
